Group, Type, String, Lev, Asch
2,INC,VSSVM,0,3.71
2,INC,XXRVSM,1,3.44
2,INC,VRVSSM,2,0.89
2,INC,XMXRVSM,0,5.0
2,INC,VSSSVXM,1,2.64
2,INC,XRRVM,1,0.29
2,INC,VRXRM,3,0.86
2,INC,XVRSVM,1,1.0
2,INC,VSMRVM,2,1.78
2,INC,XRSSRVM,2,1.36
2,INC,VXXSRVM,2,1.18
2,INC,XVSVM,2,1.0
2,INC,VVVRM,2,0.71
2,INC,XXMVVM,2,0.78
2,INC,VMXVSM,2,1.44
2,INC,XMVVSRM,3,2.36
2,INC,VVSMXXM,3,1.27
2,INC,XSSRM,2,1.29
2,INC,VVRSM,2,1.29
2,INC,XSRSSM,2,1.22
2,INC,VMRSRM,3,0.78
2,INC,XRSSSXM,2,0.45
2,INC,VMXSXMM,4,0.55
2,INC,XVRSM,2,0.71
2,INC,VRSXM,2,0.14
2,INC,XSSRVM,2,1.89
2,INC,VSRXRM,3,1.44
2,INC,XMMXSRM,2,3.36
2,INC,VRVRXSM,3,0.27
2,INC,XXVVM,1,0.86
2,INC,VXVXM,2,0.14
2,INC,XSSSXM,2,1.0
2,INC,VXVXMM,3,0.11
2,INC,XSSSXVM,2,1.27
2,INC,VMMVXXM,3,0.55
2,EXC,XMRVM,1,2.0
2,EXC,VSMMM,2,1.71
2,EXC,XXVRSM,2,1.78
2,EXC,VVSMRM,2,1.33
2,EXC,XMRRRSM,2,1.64
2,EXC,VMSXSMM,3,0.09
2,EXC,XRRVM,1,0.29
2,EXC,VSSXM,1,3.0
2,EXC,XRSVXM,2,0.33
2,EXC,VMXRRM,2,2.0
2,EXC,XVXXMRM,4,0.09
2,EXC,VRRRSSM,3,1.27
2,EXC,XSVRM,2,1.0
2,EXC,VMRRM,3,0.0
2,EXC,XVVVMM,3,0.0
2,EXC,VRXXXM,4,0.0
2,EXC,XSXSXVM,3,0.45
2,EXC,VXXSMRM,4,0.09
2,EXC,XMMMM,1,4.0
2,EXC,VRMSM,2,0.14
2,EXC,XSXSSM,3,0.44
2,EXC,VVVVXM,3,0.44
2,EXC,XRMSSSM,3,0.82
2,EXC,VMSRXRM,3,0.55
